tripminutes,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start hour,start day,weekday,day,age,tripminutes
6,389,2020-03-01 00:14:07.000,2020-03-01 00:20:36.088,3202,Newport PATH,40.7272235,-74.03375890000001,3203,Hamilton Park,40.727595965999996,-74.044247311,42381,Subscriber,1992,1,0,1,6,Weekend,28,6
4,242,2020-03-01 00:48:06.439,2020-03-01 00:52:08.987,3185,City Hall,40.717732500000004,-74.04384499999999,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42155,Subscriber,1991,1,0,1,6,Weekend,29,4
2,124,2020-03-01 01:08:46.488,2020-03-01 01:10:51.278,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,42376,Subscriber,1987,0,1,1,6,Weekend,33,2
1,104,2020-03-01 01:22:35.479,2020-03-01 01:24:20.247,3202,Newport PATH,40.7272235,-74.03375890000001,3638,Washington St,40.7242941,-74.0354826,42350,Subscriber,1993,1,1,1,6,Weekend,27,1
3,228,2020-03-01 01:39:20.268,2020-03-01 01:43:09.138,3194,McGinley Square,40.7253399253558,-74.06762212514876,3280,Astor Place,40.71928220070703,-74.07126188278198,42235,Subscriber,1988,1,1,1,6,Weekend,32,3
8,526,2020-03-01 01:50:56.745,2020-03-01 01:59:43.690,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3694,Jackson Square,40.71113,-74.0789,42263,Subscriber,1969,1,1,1,6,Weekend,51,8
3,237,2020-03-01 02:14:38.850,2020-03-01 02:18:35.872,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3185,City Hall,40.717732500000004,-74.04384499999999,42122,Subscriber,1988,1,2,1,6,Weekend,32,3
6,365,2020-03-01 02:35:11.551,2020-03-01 02:41:16.933,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,42490,Subscriber,1973,2,2,1,6,Weekend,47,6
5,300,2020-03-01 02:46:40.373,2020-03-01 02:51:40.759,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,42312,Subscriber,1981,1,2,1,6,Weekend,39,5
2,176,2020-03-01 03:56:13.738,2020-03-01 03:59:09.944,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3273,Manila & 1st,40.72165072487999,-74.04288411140442,42524,Subscriber,1990,1,3,1,6,Weekend,30,2
5,304,2020-03-01 04:06:06.794,2020-03-01 04:11:11.631,3202,Newport PATH,40.7272235,-74.03375890000001,3639,Harborside,40.71925170000001,-74.034234,42406,Subscriber,1981,1,4,1,6,Weekend,39,5
4,243,2020-03-01 04:06:21.445,2020-03-01 04:10:25.136,3202,Newport PATH,40.7272235,-74.03375890000001,3639,Harborside,40.71925170000001,-74.034234,42555,Customer,1992,1,4,1,6,Weekend,28,4
7,439,2020-03-01 04:21:45.521,2020-03-01 04:29:04.633,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42113,Customer,1995,1,4,1,6,Weekend,25,7
6,372,2020-03-01 04:22:25.724,2020-03-01 04:28:37.796,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42126,Customer,1996,1,4,1,6,Weekend,24,6
11,708,2020-03-01 06:38:14.972,2020-03-01 06:50:03.934,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,42455,Customer,1969,0,6,1,6,Weekend,51,11
3,182,2020-03-01 07:28:41.576,2020-03-01 07:31:44.307,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958611647166,-74.0431174635887,42274,Subscriber,1980,1,7,1,6,Weekend,40,3
